full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
lucasr/twoway-view;5218;13.17;0;Java;1008;166;2013-01-18T20:55:23Z;2026-03-13T19:03:12Z
bitcoinj/bitcoinj;5212;12.34;14;Java;2563;563;2013-11-19T04:33:23Z;2026-03-21T14:56:53Z
reactor/reactor-core;5210;10.36;224;Java;1246;72;2015-11-10T10:06:40Z;2026-03-22T11:36:16Z
Karumi/Dexter;5209;10.34;33;Java;673;34;2015-11-17T13:14:43Z;2026-03-19T16:10:03Z
brianfrankcooper/YCSB;5197;15.92;55;Java;2322;382;2010-04-19T20:52:11Z;2026-03-20T19:40:55Z
oshi/oshi;5195;14.11;170;Java;917;9;2012-02-10T12:46:48Z;2026-03-21T04:33:49Z
hustcc/JS-Sorting-Algorithm;5193;9.17;0;Java;1134;24;2017-01-19T11:36:21Z;2026-03-19T09:36:25Z
zhanglei-workspace/shopping-management-system;5187;10.35;0;Java;2239;28;2015-11-16T12:53:21Z;2026-03-21T05:34:09Z
Clans/FloatingActionButton;5186;11.0;14;Java;1120;231;2015-03-21T12:36:16Z;2026-03-16T16:00:52Z
android/views-widgets-samples;5179;6.54;0;Java;2986;184;2019-09-06T21:39:12Z;2026-03-20T11:31:02Z
killme2008/aviatorscript;5176;14.98;52;Java;899;76;2011-03-29T12:48:47Z;2026-03-20T15:42:32Z
Exrick/xpay;5170;8.27;0;Java;1117;34;2017-12-12T16:11:19Z;2026-03-22T15:47:44Z
baomidou/dynamic-datasource;5150;7.9;19;Java;1247;2;2018-04-28T02:32:16Z;2026-03-21T16:39:18Z
careercup/ctci;5144;13.0;0;Java;2285;66;2013-03-21T23:01:01Z;2026-03-21T08:36:39Z
square/otto;5135;13.73;0;Java;832;18;2012-06-27T19:06:49Z;2026-03-20T04:59:44Z
natario1/CameraView;5125;8.68;42;Java;981;139;2017-07-18T09:30:33Z;2026-03-22T20:56:12Z
deathmarine/Luyten;5119;12.7;17;Java;1015;192;2013-07-11T10:57:28Z;2026-03-22T06:20:53Z
